airport_code,length_ft_sum,width_ft_avg
LGA,14000.0,150.0
LGB,30349.0,130.0
LGC,10600.0,125.0
LGD,9476.0,80.0
LGU,19022.0,108.33333333333333
LHD,7840.0,179.33333333333334
LHM,6001.0,100.0
LHV,6006.0,100.0
LHX,12648.0,67.5
LIH,13000.0,150.0
LIT,20597.0,150.0
LKP,4200.0,60.0
LLQ,5018.0,75.0
LMT,20723.0,116.66666666666667
LNA,10166.0,83.33333333333333
LNK,26950.0,150.0
LNN,9300.0,100.0
LNR,6988.0,67.5
LNS,11036.0,125.0
LNY,5001.0,150.0
LOL,10451.0,75.0
LOT,10797.0,87.5
LOU,7936.0,75.0
LOZ,5650.0,150.0
LPC,4600.0,100.0
LPR,5002.0,100.0
LPS,2904.0,60.0
LQR,10460.0,141.66666666666666
LRD,21994.0,150.0
LRF,15482.0,130.0
LRO,3700.0,75.0
LRU,21067.0,100.0
LSE,19886.0,150.0
LSF,10000.0,150.0
LSV,20178.0,175.0
LTS,29442.0,122.0
LUF,19916.0,150.0
LUK,15031.0,116.66666666666667
LUP,2700.0,75.0
LUR,4800.0,135.0
LVK,7952.0,87.5
LVM,12116.0,106.66666666666667
LVS,13202.0,75.0
LWA,8075.0,132.5
LWB,7004.0,150.0
LWC,9601.0,87.5
LWM,8901.0,125.0
LWS,11513.0,125.0
LWT,15802.0,86.66666666666667
LXN,8689.0,175.0
LYH,9186.0,112.5
LYU,5600.0,100.0
LZU,6000.0,100.0
LZZ,4200.0,75.0
M94,3665.0,36.0
MAE,9247.0,150.0
MAF,26747.0,118.75
MBG,6811.0,162.5
MBL,8222.0,87.5
MBS,14402.0,150.0
MCB,5000.0,100.0
MCC,10600.0,200.0
MCE,5903.0,150.0
MCF,11421.0,151.0
MCG,7936.0,80.0
MCI,29801.0,150.0
MCK,11799.0,111.66666666666667
MCL,3000.0,68.0
MCN,11502.0,150.0
MCO,43009.0,175.0
MCW,12003.0,150.0
MDH,14168.0,86.66666666666667
MDT,10001.0,200.0
MDW,27475.0,132.0
MEI,14602.0,150.0
MEJ,7353.0,77.5
MEM,38386.0,150.0
MEO,7603.0,87.5
MER,11802.0,150.0
MFD,15796.0,150.0
MFE,9758.0,105.0
MFI,8600.0,100.0
MFR,11936.0,125.0
MGC,4100.0,75.0
MGE,14000.0,180.0
MGJ,8678.0,100.0
MGM,13020.0,150.0
MGW,7968.0,112.5
MGY,5000.0,100.0
MHK,10800.0,125.0
MHM,4184.0,100.0
MHR,17341.0,150.0
MHT,16100.0,150.0
MHV,21295.0,116.66666666666667
MIA,41460.0,162.5
MIB,13197.0,300.0
MIC,11150.0,106.75
MIE,11498.0,125.0
MIV,11059.0,150.0
MKC,12052.0,150.0
MKE,32553.0,150.0
MKG,11502.0,150.0
MKK,7612.0,100.0
MKL,9545.0,125.0
MKO,13601.0,95.0
MKT,9399.0,87.5
MLB,19182.0,125.0
MLC,5602.0,100.0
MLD,4950.0,60.0
MLI,21512.0,150.0
MLJ,5500.0,100.0
MLL,3201.0,100.0
MLS,11304.0,87.5
MLT,8721.0,125.0
MLU,17508.0,150.0
MLY,2875.0,30.0
MMH,7000.0,100.0
MMI,5000.0,75.0
MMT,15550.0,130.0
MMU,9997.0,150.0
MMV,10096.0,150.0
MNM,11100.0,100.0
MNZ,9402.0,100.0
MOB,12886.0,150.0
MOD,9370.0,125.0
MOT,14050.0,125.0
MOU,3500.0,75.0
MPO,7948.0,80.0
MPR,8011.0,87.5
MPV,9024.0,100.0
MQT,12370.0,150.0
MRB,14601.0,150.0
MRF,14346.0,70.0
MRI,8640.0,78.33333333333333
MRK,5000.0,100.0
MRN,5500.0,75.0
