,Facility Name,City,country,ident,airport_ident,Lat,Long
1952,Hastings Aerodrome,Hastings,New Zealand,\N,NZHS,-39.646702000000005,176.766998
1953,Kerikeri Airport,Kerikeri,New Zealand,KKE,NZKK,-35.26279830932617,173.91200256347656
1954,Kaitaia Airport,Kaitaia,New Zealand,KAT,NZKT,-35.06999969482422,173.28500366210938
1955,Alexandra Airport,Alexandra,New Zealand,ALR,NZLX,-45.21170043945313,169.3730010986328
1956,Mount Cook Airport,Mount Cook,New Zealand,MON,NZMC,-43.76499938964844,170.13299560546875
1957,Manapouri Airport,Manapouri,New Zealand,TEU,NZMO,-45.53310012817383,167.64999389648438
1958,Hood Airport,Masterton,New Zealand,MRO,NZMS,-40.97330093383789,175.63400268554688
1959,New Plymouth Airport,New Plymouth,New Zealand,NPL,NZNP,-39.00859832763672,174.1790008544922
1960,Nelson Airport,Nelson,New Zealand,NSN,NZNS,-41.298301696777344,173.2209930419922
1961,Invercargill Airport,Invercargill,New Zealand,IVC,NZNV,-46.41239929199219,168.31300354003906
1962,RNZAF Base Ohakea,Ohakea,New Zealand,\N,NZOH,-40.20600128173828,175.38800048828125
1963,Oamaru Airport,Oamaru,New Zealand,OAM,NZOU,-44.97000122070313,171.08200073242188
1964,Palmerston North Airport,Palmerston North,New Zealand,PMR,NZPM,-40.32059860229492,175.61700439453125
1965,Paraparaumu Airport,Paraparaumu,New Zealand,PPQ,NZPP,-40.904701232910156,174.98899841308594
1966,Queenstown International Airport,Queenstown International,New Zealand,ZQN,NZQN,-45.0210990906,168.738998413
1967,Rotorua Regional Airport,Rotorua,New Zealand,ROT,NZRO,-38.10919952392578,176.31700134277344
1968,Waiouru Airport,Waiouru,New Zealand,\N,NZRU,-39.4463996887207,175.6580047607422
1969,South Pole Station Airport,Stephen's Island,Antarctica,\N,NZSP,-90.0,0.0
1970,Tauranga Airport,Tauranga,New Zealand,TRG,NZTG,-37.67190170288086,176.1959991455078
1971,Timaru Airport,Timaru,New Zealand,TIU,NZTU,-44.30279922485352,171.22500610351562
1972,Pukaki Airport,Pukaki,New Zealand,\N,NZUK,-44.2350006104,170.117996216
1973,Woodbourne Airport,Woodbourne,New Zealand,BHE,NZWB,-41.5182991027832,173.8699951171875
1974,Williams Field,Weydon,Antarctica,\N,NZWD,-77.86740112304688,167.0570068359375
1975,Wanaka Airport,Wanaka,New Zealand,WKA,NZWF,-44.722198486328004,169.24600219727
1976,Wigram Airport,Wigram,New Zealand,\N,NZWG,-43.5511016846,172.55299377400002
1977,Whakatane Airport,Whakatane,New Zealand,WHK,NZWK,-37.92060089111328,176.91400146484375
1978,Wellington International Airport,Wellington,New Zealand,WLG,NZWN,-41.327201843299996,174.80499267599998
1979,Wairoa Airport,Wairoa,New Zealand,\N,NZWO,-39.00690078735352,177.40699768066406
1980,RNZAF Base Auckland-Whenuapai,Whenuapai,New Zealand,\N,NZWP,-36.78779983520508,174.6300048828125
1981,Whangarei Airport,Whangarei,New Zealand,WRE,NZWR,-35.7682991027832,174.36500549316406
1982,Westport Airport,Westport,New Zealand,WSZ,NZWS,-41.73809814453125,171.58099365234375
1983,Wanganui Airport,Wanganui,New Zealand,WAG,NZWU,-39.96220016479492,175.02499389648438
1984,Herat Airport,Herat,Afghanistan,HEA,OAHR,34.209999084472656,62.22829818725586
1985,Jalalabad Airport,Jalalabad,Afghanistan,JAA,OAJL,34.39979934692383,70.49859619140625
1986,Kabul International Airport,Kabul,Afghanistan,KBL,OAKB,34.56589889526367,69.21230316162111
1987,Kandahar Airport,Kandahar,Afghanistan,KDH,OAKN,31.505800247192386,65.84780120849611
1988,Maimana Airport,Maimama,Afghanistan,MMZ,OAMN,35.93080139160156,64.76090240478516
1989,Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,MZR,OAMS,36.70690155029297,67.20970153808594
1990,Shindand Airport,Shindand,Afghanistan,\N,OASD,33.3913002014,62.261001586899994
1991,Sheberghan Airport,Sheberghan,Afghanistan,\N,OASG,36.75080108642578,65.91320037841797
1992,Konduz Airport,Kunduz,Afghanistan,UND,OAUZ,36.66510009765625,68.91079711914061
1993,Bahrain International Airport,Bahrain,Bahrain,BAH,OBBI,26.27079963684082,50.63359832763672
1994,Sheik Isa Air Base,Bahrain,Bahrain,\N,OBBS,25.918399810791016,50.590599060058594
1995,Abha Regional Airport,Abha,Saudi Arabia,AHB,OEAB,18.2404003143,42.65660095210001
1996,Al Ahsa Airport,Al-ahsa,Saudi Arabia,HOF,OEAH,25.28529930114746,49.48519897460938
1997,Al Baha Airport,El-baha,Saudi Arabia,ABT,OEBA,20.296100616500002,41.6343002319
1998,Bisha Airport,Bisha,Saudi Arabia,BHH,OEBH,19.984399795532227,42.62089920043945
1999,Abqaiq Airport,Abqaiq,Saudi Arabia,\N,OEBQ,25.91130065917969,49.59120178222656
2000,King Fahd International Airport,Dammam,Saudi Arabia,DMM,OEDF,26.471200942993164,49.79790115356445
2001,King Abdulaziz Air Base,Dhahran,Saudi Arabia,DHA,OEDR,26.265399932900003,50.1520004272
2002,Jizan Regional Airport,Gizan,Saudi Arabia,GIZ,OEGN,16.901100158691403,42.58580017089844
2003,Gassim Airport,Gassim,Saudi Arabia,ELQ,OEGS,26.30279922485352,43.77439880371094
2004,Gurayat Domestic Airport,Guriat,Saudi Arabia,URY,OEGT,31.412413,37.278898
2005,Ha'il Airport,Hail,Saudi Arabia,HAS,OEHL,27.437901,41.686298
2006,Jubail Airport,Jubail,Saudi Arabia,\N,OEJB,27.03899955749512,49.40510177612305
2007,King Faisal Naval Base,Jeddah,Saudi Arabia,\N,OEJF,21.348100662231445,39.17300033569336
2008,King Abdulaziz International Airport,Jeddah,Saudi Arabia,JED,OEJN,21.6796,39.156502
2009,King Khaled Military City Airport,King Khalid Mil.city,Saudi Arabia,HBT,OEKK,27.9009,45.528197999999996
2010,Prince Mohammad Bin Abdulaziz Airport,Madinah,Saudi Arabia,MED,OEMA,24.55340003967285,39.7051010131836
2011,Nejran Airport,Nejran,Saudi Arabia,EAM,OENG,17.611400604248047,44.4192008972168
2012,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,AQI,OEPA,28.335199,46.125099
2013,Pump Station 3 Airport,Petroline 3,Saudi Arabia,\N,OEPC,25.17449951171875,47.48839950561523
2014,Pump Station 6 Airport,Petroline 6,Saudi Arabia,\N,OEPF,24.71030044555664,44.964500427246094
2015,Pump Station 10 Airport,Petroline 10,Saudi Arabia,\N,OEPJ,24.1072998046875,41.0359992980957
2016,Rabigh Airport,Rabigh,Saudi Arabia,\N,OERB,22.702600479125977,39.069801330566406
2017,Rafha Domestic Airport,Rafha,Saudi Arabia,RAH,OERF,29.626399993896484,43.4906005859375
2018,King Khaled International Airport,Riyadh,Saudi Arabia,RUH,OERK,24.957599639892575,46.69879913330078
2019,Ras Mishab Airport,Rash Mishab,Saudi Arabia,\N,OERM,28.079599380493164,48.611000061035156
2020,Arar Domestic Airport,Arar,Saudi Arabia,RAE,OERR,30.90660095214844,41.13819885253906
2021,Ras Tanura Airport,Ras Tanura,Saudi Arabia,\N,OERT,26.723100662231445,50.030799865722656
2022,Sharurah Airport,Sharurah,Saudi Arabia,SHW,OESH,17.466899871826172,47.12139892578125
2023,Sulayel Airport,Sulayel,Saudi Arabia,SLF,OESL,20.46470069885254,45.61959838867188
2024,Tabuk Airport,Tabuk,Saudi Arabia,TUU,OETB,28.3654,36.6189
2025,Ta’if Regional Airport,Taif,Saudi Arabia,TIF,OETF,21.483001,40.543442
2026,Thumamah Airport,Thumamah,Saudi Arabia,\N,OETH,25.21299934387207,46.64099884033203
2027,Ras Tanajib Airport,Ras Tanajib,Saudi Arabia,\N,OETN,27.86779975891113,48.76910018920898
2028,Turaif Domestic Airport,Turaif,Saudi Arabia,TUI,OETR,31.692188,38.731544
2029,Al Wajh Domestic Airport,Wejh,Saudi Arabia,EJH,OEWJ,26.19860076904297,36.47639846801758
2030,Prince Abdulmohsin Bin Abdulaziz Airport,Yenbo,Saudi Arabia,YNB,OEYN,24.144199,38.0634
2031,Abadan Airport,Abadan,Iran,ABD,OIAA,30.371099471999997,48.2282981873
2032,Dezful Airport,Dezful,Iran,\N,OIAD,32.434399,48.397597999999995
2033,Aghajari Airport,Aghajari,Iran,\N,OIAG,30.7444,49.6772
2034,Gachsaran Airport,Gachsaran,Iran,\N,OIAH,30.337600708000004,50.827999115
2035,Shahid Asyaee Airport,Masjed Soleiman,Iran,QMJ,OIAI,32.00239944458008,49.27040100097656
2036,Omidiyeh Airport,Omidyeh,Iran,\N,OIAJ,30.8351993560791,49.5349006652832
2037,Mahshahr Airport,Bandar Mahshahr,Iran,MRX,OIAM,30.55620002746582,49.15190124511719
2038,Ahwaz Airport,Ahwaz,Iran,AWZ,OIAW,31.3374004364,48.7620010376
2039,Abumusa Island Airport,Abumusa I.,Iran,\N,OIBA,25.87569999694824,55.03300094604492
2040,Bushehr Airport,Bushehr,Iran,BUZ,OIBB,28.944799423200003,50.834598541300004
2041,Bastak Airport,Bastak,Iran,\N,OIBH,27.21269989013672,54.31859970092773
2042,Asaloyeh Airport,Golbandi,Iran,\N,OIBI,27.4814,52.615501
2043,Kish International Airport,Kish Island,Iran,KIH,OIBK,26.526199340799998,53.9802017212
2044,Bandar Lengeh Airport,Bandar Lengeh,Iran,BDH,OIBL,26.531999588,54.82479858399999
2045,Khark Island Airport,Khark Island,Iran,\N,OIBQ,29.26029968261719,50.32389831542969
2046,Sirri Island Airport,Siri Island,Iran,\N,OIBS,25.908899307250977,54.53939819335938
2047,Lavan Island Airport,Lavan Island,Iran,\N,OIBV,26.81030082702637,53.356300354003906
2048,Shahid Ashrafi Esfahani Airport,Bakhtaran,Iran,KSH,OICC,34.3459014893,47.1581001282
2049,Sanandaj Airport,Sanandaj,Iran,SDG,OICS,35.24589920043945,47.00920104980469
2050,Hesa Airport,Daran,Iran,\N,OIFE,32.92890167236328,51.56110000610352
2051,Shahid Vatan Pour Air Base,Esfahan,Iran,\N,OIFH,32.567001342773445,51.69160079956055
2052,Kashan Airport,Kashan,Iran,\N,OIFK,33.895301818847656,51.57699966430664
2053,Esfahan Shahid Beheshti International Airport,Esfahan,Iran,IFN,OIFM,32.75080108642578,51.86130142211914
2054,Badr Air Base,Sepah,Iran,\N,OIFP,32.62110137939453,51.696998596191406
2055,Sardar-e-Jangal Airport,Rasht,Iran,RAS,OIGG,37.323333,49.617778
2056,Arak Airport,Arak,Iran,\N,OIHR,34.13809967041016,49.8473014831543
2057,Ghazvin Azadi Airport,Abe-ali,Iran,\N,OIIA,35.95209884643555,50.45080184936523
2058,Kushke Nosrat Airport,Kushke Nosrat,Iran,\N,OIIC,34.98400115966797,50.80619812011719
2059,Doshan Tappeh Air Base,Teheran,Iran,\N,OIID,35.702999114990234,51.47510147094727
2060,Ghale Morghi Airport,Teheran,Iran,\N,OIIG,35.644798278808594,51.38069915771485
2061,Mehrabad International Airport,Teheran,Iran,THR,OIII,35.68920135498047,51.31340026855469
2062,Qazvin Airport,Ghazvin,Iran,\N,OIIK,36.240101,50.0471
2063,Naja Airport,Khoram Dareh,Iran,\N,OIIM,35.77629852294922,50.88100051879883
2064,Bandar Abbas International Airport,Bandar Abbas,Iran,BND,OIKB,27.218299865722656,56.37779998779297
2065,Jiroft Airport,Jiroft,Iran,\N,OIKJ,28.7269001007,57.67029953
2066,Kerman Airport,Kerman,Iran,KER,OIKK,30.2744007111,56.9510993958
2067,Havadarya Airport,Bandar Abbas,Iran,\N,OIKP,27.158300399780273,56.17250061035156
2068,Dayrestan Airport,Gheshm I.,Iran,\N,OIKQ,26.754600524902344,55.90240097045898
2069,Sirjan Airport,Sirjan,Iran,\N,OIKY,29.550899505615234,55.67269897460938
2070,Birjand Airport,Birjand,Iran,XBJ,OIMB,32.898101806640625,59.2661018371582
2071,Sarakhs Airport,Sarakhs,Iran,\N,OIMC,36.50120162963867,61.06489944458008
2072,Shahroud Airport,Emam Shahr,Iran,\N,OIMJ,36.4253005981,55.1041984558
2073,Tabas Airport,Tabas,Iran,\N,OIMT,33.6678009033,56.892700195299994
2074,Kalaleh Airport,Kalaleh,Iran,\N,OINE,37.3833007812,55.451999664300004
2075,Ramsar Airport,Ramsar,Iran,RZR,OINR,36.9099006652832,50.67959976196289
2076,Fasa Airport,Fasa,Iran,\N,OISF,28.89179992675781,53.72330093383789
2077,Jahrom Airport,Jahrom,Iran,\N,OISJ,28.5867004395,53.5791015625
2078,Lamerd Airport,Lamerd,Iran,\N,OISR,27.3726997375,53.18880081179999
2079,Shiraz Shahid Dastghaib International Airport,Shiraz,Iran,SYZ,OISS,29.53919982910156,52.58980178833008
2080,Khoy Airport,Khoy,Iran,\N,OITK,38.4275016784668,44.97359848022461
2081,Tabriz International Airport,Tabriz,Iran,TBZ,OITT,38.1338996887207,46.23500061035156
2082,Zanjan Airport,Zanjan,Iran,\N,OITZ,36.773700714099995,48.3594017029
2083,Shahid Sadooghi Airport,Yazd,Iran,AZD,OIYY,31.904899597199996,54.2765007019
2084,Zabol Airport,Zabol,Iran,ACZ,OIZB,31.09830093383789,61.54389953613281
2085,Konarak Airport,Chah Bahar,Iran,ZBR,OIZC,25.443300247199996,60.382099151599995
2086,Zahedan International Airport,Zahedan,Iran,ZAH,OIZH,29.47570037841797,60.90620040893555
2087,Iran Shahr Airport,Iran Shahr,Iran,\N,OIZI,27.2360992432,60.7200012207
2088,Saravan Airport,Saravan,Iran,\N,OIZS,27.419300079345703,62.31579971313477
2089,Queen Alia International Airport,Amman,Jordan,AMM,OJAI,31.7226009369,35.9931983948
2090,Amman-Marka International Airport,Amman,Jordan,ADJ,OJAM,31.972700119018555,35.991600036621094
2091,Aqaba King Hussein International Airport,Aqaba,Jordan,AQJ,OJAQ,29.61160087585449,35.01810073852539
2092,Prince Hassan Air Base,Hotel Four,Jordan,\N,OJHF,32.160702,37.149399
2093,Jerusalem Airport,Jerusalem,West Bank,\N,OJJR,31.864700317382997,35.219200134277
2094,King Hussein Air College,Mafraq,Jordan,OMF,OJMF,32.3564,36.259201000000004
2095,Kuwait International Airport,Kuwait,Kuwait,KWI,OKBK,29.226600646972656,47.96889877319336
2096,Beirut Rafic Hariri International Airport,Beirut,Lebanon,BEY,OLBA,33.820899963378906,35.488399505615234
2097,Rene Mouawad Air Base,Kleiat,Lebanon,\N,OLKA,34.589298248291016,36.01129913330078
2098,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,AUH,OMAA,24.433000564575195,54.651100158691406
2099,Bateen Airport,Abu Dhabi,United Arab Emirates,AZI,OMAD,24.428300857543945,54.45809936523438
2100,Al Hamra Aux Airport,Al Hamra,United Arab Emirates,\N,OMAH,24.07399940490723,52.463600158691406
2101,Jebel Dhana Airport,Jebel Dhana,United Arab Emirates,\N,OMAJ,24.18740081787109,52.61399841308594
2102,Al Dhafra Air Base,Abu Dhabi,United Arab Emirates,\N,OMAM,24.248199462900004,54.5476989746
2103,Arzanah Airport,Arzana,United Arab Emirates,\N,OMAR,24.780500411987305,52.55989837646485
2104,Das Island Airport,Das Island,United Arab Emirates,\N,OMAS,25.14620018005371,52.87369918823242
2105,Zirku Airport,Zirku,United Arab Emirates,\N,OMAZ,24.862491607666016,53.07714080810547
2106,Dubai International Airport,Dubai,United Arab Emirates,DXB,OMDB,25.252799987800003,55.3643989563
2107,Fujairah International Airport,Fujeirah,United Arab Emirates,FJR,OMFJ,25.112199783325195,56.32400131225586
2108,Ras Al Khaimah International Airport,Ras Al Khaimah,United Arab Emirates,RKT,OMRK,25.61350059509277,55.93880081176758
2109,Sharjah International Airport,Sharjah,United Arab Emirates,SHJ,OMSJ,25.32859992980957,55.5172004699707
2110,Khasab Air Base,Khasab,Oman,KHS,OOKB,26.17099952697754,56.2406005859375
2111,Masirah Air Base,Masirah,Oman,MSH,OOMA,20.67539978027344,58.89049911499024
2112,Muscat International Airport,Muscat,Oman,MCT,OOMS,23.593299865722656,58.284400939941406
2113,Salalah Airport,Salalah,Oman,SLL,OOSA,17.038700103759766,54.09130096435547
2114,Thumrait Air Base,Thumrait,Oman,TTH,OOTH,17.666000366210938,54.02460098266602
2115,Bhagatanwala Airport,Bhagtanwala,Pakistan,\N,OPBG,32.056098938000005,72.94840240479999
2116,Faisalabad International Airport,Faisalabad,Pakistan,LYP,OPFA,31.364999771118164,72.99479675292969
2117,Gwadar International Airport,Gwadar,Pakistan,GWD,OPGD,25.23329925537109,62.32949829101562
2118,Gilgit Airport,Gilgit,Pakistan,GIL,OPGT,35.918800354003906,74.33360290527344
2119,Shahbaz Air Base,Jacobsbad,Pakistan,\N,OPJA,28.28420066833496,68.44969940185547
2120,Jinnah International Airport,Karachi,Pakistan,KHI,OPKC,24.9065,67.160797
2121,Alama Iqbal International Airport,Lahore,Pakistan,LHE,OPLA,31.5216007232666,74.40360260009766
2122,Walton Airport,Lahore,Pakistan,\N,OPLH,31.494800567626953,74.34619903564453
2123,Mangla Airport,Mangla,Pakistan,\N,OPMA,33.050098419189446,73.63839721679688
2124,Muzaffarabad Airport,Muzaffarabad,Pakistan,MFG,OPMF,34.339000701904304,73.50859832763672
2125,Mianwali Air Base,Mianwali,Pakistan,\N,OPMI,32.563098907470696,71.5707015991211
2126,Moenjodaro Airport,Moenjodaro,Pakistan,MJD,OPMJ,27.3351993560791,68.14309692382811
2127,Masroor Air Base,Karachi,Pakistan,\N,OPMR,24.89360046386719,66.93879699707031
2128,Multan International Airport,Multan,Pakistan,MUX,OPMT,30.20319938659668,71.41909790039062
2129,Shaheed Benazirabad Airport,Nawabshah,Pakistan,WNS,OPNH,26.2194,68.39009899999999
2130,Okara Cantonment Airstrip,Okara,Pakistan,\N,OPOK,30.740999221800003,73.3576965332
2131,Panjgur Airport,Panjgur,Pakistan,PJG,OPPG,26.954500198364254,64.13249969482422
2132,Pasni Airport,Pasni,Pakistan,PSI,OPPI,25.29050064086914,63.34510040283203
2133,Peshawar International Airport,Peshawar,Pakistan,PEW,OPPS,33.993900299072266,71.51460266113281
2134,Qasim Airport,Qasim,Pakistan,\N,OPQS,33.56019973754883,73.033203125
2135,Quetta International Airport,Quetta,Pakistan,UET,OPQT,30.251399993896484,66.93779754638672
2136,Shaikh Zaid Airport,Rahim Yar Khan,Pakistan,RYK,OPRK,28.383899688720703,70.27960205078125
2137,Benazir Bhutto International Airport,Islamabad,Pakistan,ISB,OPRN,33.61669921875,73.09919738769531
2138,Risalpur Air Base,Risalpur,Pakistan,\N,OPRS,34.081100463867195,71.97260284423828
2139,Rawalakot Airport,Rawala Kot,Pakistan,RAZ,OPRT,33.84970092773437,73.79810333251953
2140,Sukkur Airport,Sukkur,Pakistan,SKZ,OPSK,27.72200012207031,68.79170227050781
2141,Saidu Sharif Airport,Saidu Sharif,Pakistan,SDT,OPSS,34.8135986328125,72.35279846191406
2142,Sui Airport,Sui,Pakistan,SUL,OPSU,28.645099639892575,69.17690277099611
2143,Talhar Airport,Talhar,Pakistan,BDN,OPTH,24.84149932861328,68.83840179443361
2144,Wana Airport,Wana,Pakistan,\N,OPWN,32.304698944091804,69.57039642333984
2145,Zhob Airport,Zhob,Pakistan,PZH,OPZB,31.358400344848636,69.46360015869139
2146,Basrah International Airport,Basrah,Iraq,BSR,ORMM,30.54910087585449,47.66210174560547
2147,Aleppo International Airport,Aleppo,Syria,ALP,OSAP,36.18069839477539,37.22439956665039
2148,Damascus International Airport,Damascus,Syria,DAM,OSDI,33.4114990234375,36.51559829711914
2149,Deir ez-Zor Airport,Deire Zor,Syria,DEZ,OSDZ,35.285400390625,40.17599868774414
2150,Bassel Al-Assad International Airport,Latakia,Syria,LTK,OSLK,35.401100158691406,35.948699951171875
2151,Palmyra Airport,Palmyra,Syria,PMS,OSPR,34.5574,38.316897999999995
2152,Doha International Airport,Doha,Qatar,\N,OTBD,25.261100769000002,51.565101623500006
2153,Canton Island Airport,Canton Island,Kiribati,CIS,PCIS,-2.7681200504300003,-171.710006714
2154,Rota International Airport,Rota,Northern Mariana Islands,ROP,PGRO,14.17430019378662,145.2429962158203
2155,Saipan International Airport,Saipan,Northern Mariana Islands,SPN,PGSN,15.119000434899998,145.729003906
2156,Andersen Air Force Base,Andersen,Guam,UAM,PGUA,13.584000000000001,144.929993
2157,Antonio B. Won Pat International Airport,Agana,Guam,GUM,PGUM,13.4834003448,144.796005249
2158,Tinian International Airport,West Tinian,Northern Mariana Islands,TIQ,PGWT,14.999199867248535,145.61900329589844
2159,Marshall Islands International Airport,Majuro,Marshall Islands,MAJ,PKMJ,7.064760208129883,171.27200317382812
2160,Dyess Army Air Field,Kwajalein,Marshall Islands,\N,PKRO,9.396889686580002,167.470993042
2161,Bucholz Army Air Field,Kwajalein,Marshall Islands,KWA,PKWA,8.720120429992676,167.73199462890625
2162,Cassidy International Airport,Kiritimati,Kiribati,CXI,PLCH,1.9861600399017332,-157.35000610351562
2163,Henderson Field,Midway,Midway Islands,MDY,PMDY,28.20170021057129,-177.38099670410156
2164,Chuuk International Airport,Chuuk,Micronesia,TKK,PTKK,7.461870193481445,151.84300231933594
2165,Pohnpei International Airport,Pohnpei,Micronesia,PNI,PTPN,6.985099792480469,158.20899963378906
2166,Babelthuap Airport,Babelthuap,Palau,ROR,PTRO,7.367650032043457,134.54400634765622
2167,Kosrae International Airport,Kosrae,Micronesia,KSA,PTSA,5.35698,162.957993
2168,Yap International Airport,Yap,Micronesia,YAP,PTYA,9.49891,138.082993
2169,Kinmen Airport,Kinmen,Taiwan,KNH,RCBS,24.42790031433105,118.35900115966795
2170,Pingtung South Airport,Pingtung,Taiwan,\N,RCDC,22.672399520874023,120.46199798583984
2171,Longtan Air Base,Longtang,Taiwan,\N,RCDI,24.85510063171387,121.23799896240234
2172,Taitung Airport,Fengnin,Taiwan,TTT,RCFN,22.7549991607666,121.10199737548828
2173,Lyudao Airport,Green Island,Taiwan,GNI,RCGI,22.67390060424805,121.46600341796876
2174,Kaohsiung International Airport,Kaohsiung,Taiwan,KHH,RCKH,22.57710075378418,120.3499984741211
2175,Chiayi Airport,Chiayi,Taiwan,CYI,RCKU,23.46179962158203,120.39299774169922
2176,Lanyu Airport,Lanyu,Taiwan,KYD,RCLY,22.027000427246094,121.53500366210938
2177,Taichung Ching Chuang Kang Airport,Taichung,Taiwan,RMQ,RCMQ,24.26469993591309,120.62100219726562
2178,Tainan Airport,Tainan,Taiwan,TNN,RCNN,22.95039939880371,120.20600128173828
2179,Hsinchu Air Base,Hsinchu,Taiwan,\N,RCPO,24.818000793499998,120.93900299100001
2180,Makung Airport,Makung,Taiwan,MZG,RCQC,23.568700790405273,119.62799835205078
2181,Chihhang Air Base,Taitung,Taiwan,\N,RCQS,22.793100357055664,121.18199920654295
2182,Pingtung North Airport,Pingtung,Taiwan,PIF,RCSQ,22.700199127197266,120.48200225830078
2183,Taipei Songshan Airport,Taipei,Taiwan,TSA,RCSS,25.06940078735352,121.552001953125
2184,Taiwan Taoyuan International Airport,Taipei,Taiwan,TPE,RCTP,25.0777,121.233002
2185,Wang-an Airport,Wang An,Taiwan,WOT,RCWA,23.367372512817386,119.50277709960938
2186,Hualien Airport,Hualien,Taiwan,HUN,RCYU,24.02309989929199,121.61799621582031
2187,Narita International Airport,Tokyo,Japan,NRT,RJAA,35.764701843299996,140.386001587
2188,Matsumoto Airport,Matsumoto,Japan,MMJ,RJAF,36.16680145263672,137.92300415039062
2189,Hyakuri Airport,Ibaraki,Japan,IBR,RJAH,36.181098938000005,140.414993286
2190,Minami Torishima Airport,Minami Tori Shima,Japan,\N,RJAM,24.289699554400002,153.979003906
2191,Iwo Jima Airport,Iwojima,Japan,IWO,RJAW,24.78400039672852,141.322998046875
2192,Nanki Shirahama Airport,Nanki-shirahama,Japan,SHM,RJBD,33.6622009277,135.363998413
2193,Kohnan Airport,Kohnan,Japan,\N,RJBK,34.59080123901367,133.93299865722656
2194,Tokachi-Obihiro Airport,Obihiro,Japan,OBO,RJCB,42.7332992554,143.216995239
2195,New Chitose Airport,Sapporo,Japan,CTS,RJCC,42.77519989013672,141.69200134277344
2196,Hakodate Airport,Hakodate,Japan,HKD,RJCH,41.7700004578,140.822006226
2197,Chitose Air Base,Chitose,Japan,SPK,RJCJ,42.79449844359999,141.666000366
2198,Memanbetsu Airport,Memanbetsu,Japan,MMB,RJCM,43.880599975600006,144.164001465
2199,Nakashibetsu Airport,Nakashibetsu,Japan,SHB,RJCN,43.5774993896,144.960006714
2200,Tokachi Airport,Tokachi,Japan,\N,RJCT,42.89049911499024,143.1580047607422
2201,Wakkanai Airport,Wakkanai,Japan,WKJ,RJCW,45.4042015076,141.80099487299998
2202,Iki Airport,Iki,Japan,IKI,RJDB,33.7490005493,129.785003662
2203,Yamaguchi Ube Airport,Yamaguchi,Japan,UBJ,RJDC,33.930000305200004,131.279006958
2204,Tsushima Airport,Tsushima,Japan,TSJ,RJDT,34.2849006653,129.33099365200002
2205,Monbetsu Airport,Monbetsu,Japan,MBE,RJEB,44.303901672399995,143.404006958
2206,Asahikawa Airport,Asahikawa,Japan,AKJ,RJEC,43.670799255371094,142.44700622558594
2207,Okushiri Airport,Okushiri,Japan,OIR,RJEO,42.0717010498,139.432998657
2208,Rishiri Airport,Rishiri Island,Japan,RIS,RJER,45.24200057979999,141.186004639
2209,Ashiya Airport,Ashiya,Japan,\N,RJFA,33.88309860229492,130.65299987792972
2210,Yakushima Airport,Yakushima,Japan,KUM,RJFC,30.3855991364,130.65899658200001
2211,Fukue Airport,Fukue,Japan,FUJ,RJFE,32.66630172729492,128.83299255371094
2212,Fukuoka Airport,Fukuoka,Japan,FUK,RJFF,33.585899353027344,130.45100402832028
2213,New Tanegashima Airport,Tanegashima,Japan,TNE,RJFG,30.6051006317,130.990997314
2214,Kagoshima Airport,Kagoshima,Japan,KOJ,RJFK,31.80340003967285,130.718994140625
2215,Miyazaki Airport,Miyazaki,Japan,KMI,RJFM,31.877199173,131.44900512700002
2216,Nyutabaru Airport,Nyutabaru,Japan,\N,RJFN,32.08359909057617,131.45100402832028
2217,Oita Airport,Oita,Japan,OIT,RJFO,33.479400634799994,131.736999512
2218,Kitakyūshū Airport,Kitakyushu,Japan,KKJ,RJFR,33.8459014893,131.035003662
2219,Kumamoto Airport,Kumamoto,Japan,KMJ,RJFT,32.83729934692383,130.85499572753906
2220,Nagasaki Airport,Nagasaki,Japan,NGS,RJFU,32.916900634799994,129.914001465
2221,Kanoya Airport,Kanoya,Japan,\N,RJFY,31.36759948730469,130.84500122070312
2222,Tsuiki Air Field,Tsuiki,Japan,\N,RJFZ,33.6850013733,131.039993286
2223,Amami Airport,Amami,Japan,ASJ,RJKA,28.430599212646484,129.71299743652344
2224,Okierabu Airport,Okierabu,Japan,\N,RJKB,27.4255008698,128.701004028
2225,Tokunoshima Airport,Tokunoshima,Japan,TKN,RJKN,27.83639907836914,128.88099670410156
2226,Fukui Airport,Fukui,Japan,\N,RJNF,36.142799377399996,136.223999023
2227,Gifu Airport,Gifu,Japan,\N,RJNG,35.394100189208984,136.8699951171875
2228,Hamamatsu Airport,Hamamatsu,Japan,\N,RJNH,34.750198364257805,137.7030029296875
2229,Komatsu Airport,Kanazawa,Japan,KMQ,RJNK,36.39459991455078,136.40699768066406
2230,Oki Airport,Oki Island,Japan,OKI,RJNO,36.18109893798828,133.32499694824222
2231,Toyama Airport,Toyama,Japan,TOY,RJNT,36.64830017089844,137.18800354003906
2232,Shizuhama Airport,Yaizu,Japan,\N,RJNY,34.812801361083984,138.29800415039062
2233,Hiroshima Airport,Hiroshima,Japan,HIJ,RJOA,34.4361000061,132.91900634799998
2234,Okayama Airport,Okayama,Japan,OKJ,RJOB,34.7569007874,133.854995728
2235,Izumo Airport,Izumo,Japan,IZO,RJOC,35.4136009216,132.88999939
