ident,length_ft,width_ft
DMD,21732.0,98.0
DME,129848.0,173.0
DMK,94488.0,172.5
DMM,104992.0,197.0
DMN,49208.0,67.5
DMT,19424.0,59.0
DMU,30052.0,148.0
DNA,96800.0,250.0
DND,18372.0,98.0
DNH,36744.0,148.0
DNK,37280.0,144.0
DNL,30960.0,100.0
DNN,21992.0,100.0
DNP,10920.0,
DNQ,23872.0,98.0
DNR,47704.0,148.0
DNV,50004.0,116.66666666666667
DNZ,39368.0,148.0
DOD,26800.0,98.0
DOG,39372.0,148.0
DOH,119424.0,197.0
DOK,52492.0,196.0
DOL,33464.0,148.0
DOM,19108.0,148.0
DOU,21128.0,98.0
DOV,90020.0,175.0
DPA,83288.0,93.75
DPL,25092.0,98.0
DPO,35668.0,123.0
DPS,39160.0,148.0
DQH,24020.0,100.0
DRA,30060.0,100.0
DRB,37980.0,78.5
DRG,23760.0,75.0
DRI,74864.0,115.0
DRK,9844.0,
DRM,26000.0,112.5
DRN,15972.0,60.0
DRO,36804.0,150.0
DRS,32912.0,167.0
DRT,25200.0,100.0
DRV,15604.0,
DRW,64016.0,147.5
DSA,37964.0,197.0
DSE,26244.0,98.0
DSK,20000.0,75.0
DSM,72016.0,150.0
DTA,45740.0,80.0
DTB,31500.0,98.0
DTD,9844.0,59.0
DTI,21128.0,98.0
DTM,26248.0,148.0
DTS,19996.0,100.0
DTW,230852.0,175.0
DU9,23600.0,45.0
DUB,79372.0,182.66666666666666
DUC,26600.0,100.0
DUD,24936.0,150.0
DUE,25872.0,80.0
DUG,107888.0,118.75
DUH,22308.0,98.0
DUJ,22016.0,100.0
DUM,23620.0,98.0
DUR,48556.0,197.0
DUS,74800.0,148.0
DUT,15600.0,100.0
DVL,39288.0,112.5
DVO,39368.0,148.0
DVT,50832.0,87.5
DWA,24000.0,100.0
DWC,59056.0,197.0
DWH,54104.0,78.33333333333333
DXB,104992.0,196.5
DXR,30228.0,125.0
DYA,20340.0,98.0
DYL,12016.0,60.0
DYR,45932.0,196.0
DYS,82000.0,140.0
DYU,40680.0,147.0
DZA,25320.0,92.0
DZN,34120.0,138.0
E25,20200.0,75.0
E38,44084.0,67.5
E63,20800.0,75.0
EAA,14400.0,75.0
EAE,9228.0,98.0
EAM,40028.0,147.0
EAS,19120.0,148.0
EAT,45840.0,150.0
EAU,52400.0,125.0
EBA,12456.0,75.0
EBB,79600.0,150.0
EBD,39372.0,148.0
EBG,17240.0,40.0
EBJ,34108.0,148.0
EBL,108688.0,141.66666666666666
EBM,35432.0,148.0
EBU,30184.0,148.0
ECA,19208.0,75.0
ECG,46948.0,150.0
ECH,21156.0,59.5
ECN,39780.0,148.0
ECP,40000.0,
ECV,30476.0,123.0
EDF,70000.0,175.0
EDI,67004.0,150.0
EDL,45920.0,147.0
EDM,20340.0,98.0
EDN,20400.0,100.0
EDO,39368.0,147.0
EDR,17848.0,98.0
EDW,140096.0,183.33333333333334
EED,36960.0,100.0
EEK,12972.0,60.0
EEN,40808.0,125.0
EET,20000.0,75.0
EFD,86444.0,125.0
EFL,31968.0,148.0
EGC,28936.0,148.0
EGE,56052.0,105.0
EGI,46000.0,105.0
EGM,12008.0,
EGN,45996.0,
EGO,61904.0,179.0
EGR,62992.0,123.0
EGS,26248.0,148.0
EGT,16804.0,100.0
EGV,33600.0,68.0
EGX,28400.0,87.5
EHA,39200.0,60.0
EHL,17060.0,98.0
EHM,15800.0,150.0
EIL,58120.0,150.0
EIN,39372.0,148.0
EIS,18568.0,89.0
EJA,23620.0,148.0
EJH,40028.0,148.0
EKA,20112.0,62.5
EKI,52004.0,98.33333333333333
EKN,36176.0,140.0
EKO,40340.0,105.0
EKY,22800.0,100.0
ELC,18896.0,98.0
ELD,61732.0,108.33333333333333
ELF,59016.0,148.0
ELG,62996.0,148.0
ELH,24080.0,100.0
ELI,13604.0,60.0
ELM,57684.0,150.0
ELP,106152.0,125.0
ELQ,39372.0,147.0
ELS,46248.0,150.0
ELT,39372.0,148.0
ELU,65620.0,123.0
ELV,40000.0,1500.0
ELY,43328.0,105.0
EMA,37964.0,151.0
EMD,37088.0,78.5
EME,17060.0,98.0
EMK,18404.0,100.0
EML,32832.0,130.0
EMN,27560.0,100.0
EMP,35496.0,199.0
EMT,15980.0,75.0
EMV,20176.0,100.0
ENA,56704.0,154.0
ENC,18372.0,131.0
END,113596.0,150.0
ENE,21760.0,98.0
ENF,26260.0,148.0
ENK,17400.0,98.0
ENN,42884.0,86.66666666666667
ENS,65436.0,115.0
ENT,30800.0,148.0
ENU,31516.0,148.0
ENV,64004.0,125.0
ENW,52964.0,91.66666666666667
EOH,32808.0,125.0
EOI,14500.0,78.5
EOK,36304.0,100.0
EPL,35432.0,147.0
EPM,16000.0,75.0
EPR,35144.0,78.5
EPS,15320.0,82.0
EPU,10484.0,75.0
EQS,47244.0,114.5
ERC,62568.0,142.5
ERF,34120.0,164.0
ERH,41996.0,148.0
ERI,47712.0,150.0
ERL,36744.0,148.0
ERM,16796.0,98.0
ERN,30184.0,98.0
ERS,42712.0,98.0
ERV,40188.0,80.0
ERY,28800.0,112.5
ERZ,112200.0,98.33333333333333
ESB,98424.0,172.5
ESC,46004.0,125.0
ESD,11600.0,60.0
ESE,19568.0,115.0
ESF,46400.0,150.0
ESH,30352.0,107.0
ESK,40024.0,150.0
ESL,56468.0,214.0
ESM,31496.0,148.0
ESN,38012.0,100.0
ESR,30184.0,98.0
ESS,20380.0,148.0
ESU,27560.0,148.0
ETH,24936.0,89.0
ETR,34500.0,148.0
ETZ,32808.0,148.0
EUA,10600.0,65.0
EUF,20000.0,100.0
EUG,76948.0,150.0
EUN,68252.0,148.0
EUX,17060.0,100.0
EVE,36944.0,148.0
EVG,22316.0,98.0
EVN,50516.0,184.0
EVV,71228.0,125.0
EVW,58400.0,100.0
EWB,39988.0,150.0
EWD,40028.0,147.0
EWK,42016.0,80.0
EWN,40016.0,150.0
EWR,111200.0,150.0
EXT,44908.0,151.0
EYP,33792.0,98.0
EYW,19204.0,100.0
EZE,84056.0,172.5
EZS,39368.0,148.0
FAA,30380.0,148.0
FAB,32020.0,148.0
FAE,23608.0,98.0
FAF,12080.0,75.0
FAI,106404.0,106.25
FAJ,14400.0,75.0
FAN,39236.0,148.0
FAO,32676.0,148.0
FAR,76400.0,133.33333333333334
FAT,65688.0,125.0
FAV,15484.0,75.0
FAY,50052.0,150.0
FBA,16668.0,89.0
FBE,17324.0,98.0
FBG,18600.0,100.0
FBK,34300.0,150.0
FBM,42492.0,164.0
FBR,41776.0,65.0
FCA,62216.0,125.0
FCI,22000.0,100.0
FCM,40796.0,75.0
FCO,193028.0,172.5
FCS,18292.0,75.0
FDF,43304.0,147.0
FDH,30916.0,148.0
FDU,18112.0,98.0
FDW,20016.0,100.0
FDY,49532.0,100.0
FEG,37532.0,164.0
FEL,36012.0,151.0
FEN,24212.0,148.0
FET,31776.0,75.0
FEZ,41996.0,148.0
FFA,12000.0,60.0
FFC,20876.0,100.0
FFD,39976.0,200.0
FFO,78404.0,225.0
FFT,20020.0,100.0
FFZ,35600.0,87.5
FGI,8792.0,
FHU,86608.0,108.33333333333333
FIE,7044.0,75.0
FIG,20996.0,131.0
FIH,61680.0,197.0
FIT,32056.0,87.5
FIZ,17060.0,98.0
FJR,49212.0,148.0
FKB,39148.0,148.0
FKI,45932.0,148.0
FKL,35592.0,125.0
FKQ,13660.0,65.0
FKS,32808.0,197.0
FLA,19684.0,98.0
FLB,23624.0,148.0
FLD,38172.0,87.5
FLF,40948.0,147.66666666666666
FLG,27996.0,150.0
FLL,95720.0,150.0
FLN,49868.0,148.0
FLO,49992.0,150.0
FLR,21700.0,98.0
FLS,36612.0,
FLV,23620.0,100.0
FLW,18372.0,98.0
FMA,23620.0,131.0
FME,12000.0,75.0
FMH,70000.0,200.0
FMI,22964.0,90.0
FMM,39120.0,148.0
FMN,52816.0,125.0
FMO,28476.0,148.0
FMY,45272.0,150.0
FNA,41992.0,150.0
FNB,30088.0,148.0
FNC,36440.0,148.0
FNI,32020.0,148.0
FNJ,95860.0,213.5
FNL,43092.0,70.0
FNR,42000.0,500.0
FNT,60200.0,150.0
FNU,15736.0,98.0
FOC,47364.0,150.0
FOD,47392.0,125.0
FOE,79208.0,175.0
FOG,18896.0,148.0
FOK,76000.0,150.0
FOM,27556.0,148.0
FON,10500.0,
FOR,33400.0,148.0
FPO,44076.0,151.0
FRA,194220.0,160.25
FRB,16116.0,60.0
FRC,26248.0,98.0
FRD,13608.0,75.0
FRE,7416.0,82.0
FRI,36000.0,150.0
FRL,31628.0,148.0
FRN,16700.0,100.0
FRO,15736.0,98.0
FRP,44992.0,125.0
FRS,39368.0,148.0
FRU,55120.0,180.0
FRW,84832.0,111.66666666666667
FSC,32544.0,148.0
FSD,80604.0,125.0
FSI,20000.0,200.0
FSM,52008.0,150.0
FSP,23600.0,150.0
FSS,30328.0,151.0
FST,99948.0,112.0
FTA,9188.0,115.0
FTE,33464.0,148.0
FTG,80000.0,86.66666666666667
FTI,12760.0,75.0
FTK,69348.0,116.25
FTU,21120.0,98.0
FTW,60736.0,108.33333333333333
FTX,23620.0,98.0
FTY,51016.0,86.66666666666667
FUE,31496.0,148.0
FUJ,26244.0,150.0
FUK,36744.0,197.0
FUL,12484.0,75.0
FUN,20160.0,
FUT,14436.0,
FWA,96008.0,125.0
FXE,40004.0,100.0
FYT,36744.0,148.0
FYU,23240.0,150.0
FYV,24024.0,100.0
FZG,33608.0,200.0
FZI,16792.0,100.0
FZO,32376.0,299.0
GAD,46432.0,150.0
GAE,14808.0,82.0
GAF,38056.0,148.0
GAH,16600.0,59.0
GAI,16808.0,75.0
GAJ,26240.0,150.0
GAL,40160.0,115.0
GAM,18004.0,96.0
GAN,48000.0,165.0
GAO,32100.0,148.0
GAQ,32808.0,148.0
GAU,36000.0,150.0
GAY,30000.0,148.0
GBE,52492.0,148.0
GBG,37576.0,125.0
GBJ,16272.0,98.0
GBN,50192.0,87.5
GBT,30160.0,148.0
GBZ,12204.0,
GCC,53212.0,112.5
GCI,19200.0,148.0
GCJ,24016.0,75.0
GCK,52000.0,100.0
GCM,28084.0,148.0
GCN,35996.0,150.0
GDE,30020.0,115.0
GDL,76416.0,145.5
GDN,36744.0,148.0
GDQ,36288.0,145.0
GDT,25448.0,151.0
GDV,34816.0,80.0
GDW,28800.0,112.5
GDX,45304.0,195.0
GDZ,40684.0,197.0
GEA,16404.0,98.0
GED,32436.0,112.5
GEG,76800.0,150.0
GEL,21324.0,98.0
GEO,49800.0,148.0
GER,54108.0,123.0
GES,42348.0,148.0
GET,48884.0,88.66666666666667
GEU,28396.0,100.0
GEV,22492.0,148.0
GEX,24404.0,
GFF,27600.0,98.0
GFK,75020.0,96.25
GFL,36000.0,125.0
GFN,22428.0,98.0
GFR,12600.0,98.0
GFY,60368.0,123.0
GGE,58104.0,133.33333333333334
GGG,64436.0,150.0
GGS,19684.0,98.0
GGT,28204.0,150.0
GGW,40004.0,87.5
GHA,72180.0,172.5
GHB,32096.0,150.0
GHG,12004.0,75.0
GHT,73816.0,123.0
GHU,17456.0,98.0
GIB,24000.0,150.0
GIC,8660.0,
GIF,36028.0,100.0
GIG,94224.0,151.0
GIL,25532.0,73.5
GIS,57652.0,184.75
GIU,23700.0,145.0
GIZ,40024.0,148.0
GJA,15960.0,66.0
GJL,31496.0,148.0
GJR,12164.0,
GJT,64012.0,112.5
GKA,9383.0,78.5
GKE,40036.0,147.0
GKK,23620.0,100.0
GKL,11480.0,
GKN,20004.0,100.0
GKY,24320.0,100.0
GLA,49368.0,151.0
GLD,43200.0,71.66666666666667
GLF,18372.0,66.0
GLH,60080.0,150.0
GLI,41656.0,98.0
GLO,41996.0,94.33333333333333
GLS,63100.0,150.0
GLT,21456.0,98.0
GLU,19684.0,115.0
GLV,16000.0,75.0
GMA,26200.0,148.0
GMB,32992.0,148.0
GME,33728.0,141.0
GMJ,21000.0,75.0
GML,45932.0,184.0
GMP,89240.0,172.5
GMR,26248.0,98.0
GMU,37564.0,90.0
GMZ,19684.0,98.0
GNA,42284.0,115.0
GNB,40028.0,148.0
GND,36012.0,148.0
GNI,13020.0,75.0
GNM,22308.0,98.0
GNS,17780.0,98.0
GNT,38088.0,57.5
GNV,46648.0,125.0
GOA,38256.0,148.0
GOH,12468.0,98.0
GOI,45380.0,148.0
GOJ,84176.0,110.0
GOM,26180.0,148.0
GON,36000.0,125.0
GOP,36000.0,150.0
GOQ,62992.0,160.0
GOT,43292.0,148.0
GOU,44128.0,148.0
GOV,28976.0,148.0
GOY,14400.0,151.0
GOZ,32152.0,148.0
GPA,87984.0,109.0
GPB,21260.0,98.0
GPI,17024.0,66.0
GPN,17256.0,98.0
GPS,31504.0,115.0
GPT,83748.0,150.0
GPZ,40820.0,103.33333333333333
GQQ,14020.0,75.0
GRB,76396.0,125.0
GRF,24500.0,150.0
GRI,54440.0,125.0
GRJ,26248.0,148.0
GRK,40000.0,200.0
GRM,16796.0,75.0
GRO,31496.0,148.0
GRP,22308.0,98.0
GRQ,52496.0,148.0
GRR,94004.0,133.33333333333334
GRS,70208.0,114.0
GRU,87928.0,148.0
GRW,18116.0,98.0
GRX,38056.0,148.0
GRY,13516.0,
GRZ,57740.0,109.33333333333333
GSB,47032.0,300.0
GSE,38188.0,114.5
GSO,101524.0,150.0
GSP,44000.0,150.0
GSQ,45932.0,148.0
GST,38920.0,105.0
GTB,77924.0,150.0
GTE,24948.0,98.0
GTF,84612.0,125.0
GTI,11812.0,
GTO,29628.0,100.0
GTR,32008.0,150.0
GTU,36400.0,87.5
GUA,39200.0,196.0
GUB,28864.0,131.0
GUC,49600.0,150.0
GUH,29368.0,98.0
GUI,26340.0,131.0
GUL,25708.0,98.0
GUM,88116.0,150.0
GUP,29264.0,100.0
GUQ,23620.0,131.0
GUR,22184.0,98.0
GUS,50004.0,200.0
GUT,29552.0,150.0
GUW,39368.0,144.0
GUY,30780.0,150.0
GUZ,15616.0,98.0
GVA,61980.0,131.0
GVL,38004.0,100.0
GVQ,22000.0,100.0
GVR,18372.0,98.0
GVT,52120.0,150.0
GVX,26248.0,148.0
GWD,19840.0,75.0
GWE,66368.0,96.5
GWL,36000.0,150.0
GWO,56788.0,120.0
GWT,50076.0,148.0
GWY,16012.0,98.0
GXF,39372.0,120.0
GXG,31496.0,98.0
GXH,41996.0,
GXQ,20288.0,98.0
GXY,77600.0,91.66666666666667
GYA,23620.0,
GYD,94488.0,172.5
GYE,36616.0,151.0
GYH,32000.0,150.0
GYI,13320.0,75.0
GYL,30184.0,98.0
GYM,30840.0,148.0
GYN,32808.0,148.0
GYU,36744.0,148.0
GYY,42424.0,125.0
GZO,14436.0,
GZP,30840.0,148.0
GZT,78740.0,128.5
HAA,12716.0,98.0
HAC,26252.0,148.0
HAD,29676.0,131.0
HAF,20000.0,150.0
HAH,38056.0,148.0
HAJ,90812.0,123.33333333333333
HAK,47244.0,148.0
HAM,90764.0,150.0
HAN,91860.0,148.0
HAQ,16012.0,98.0
HAS,48816.0,148.0
HAU,27828.0,148.0
HAV,52492.0,148.0
HBA,29540.0,148.0
HBE,55400.0,148.0
HBG,24396.0,150.0
HBI,22004.0,100.0
HBR,64372.0,133.33333333333334
HBT,48020.0,148.0
HBX,21916.0,100.0
HCJ,28872.0,148.0
HCN,22308.0,98.0
HCQ,31772.0,78.5
HCR,16000.0,100.0
HDE,25880.0,187.5
HDF,38124.0,106.5
HDG,28872.0,148.0
HDH,36028.0,75.0
HDI,13200.0,75.0
HDM,42444.0,148.0
HDN,40000.0,150.0
HDO,107008.0,148.0
HDS,80136.0,119.5
HDY,40028.0,148.0
HEA,32872.0,150.0
HEH,34000.0,100.0
HEI,9448.0,76.0
HEK,32808.0,148.0
HEL,123372.0,197.0
HEM,31024.0,98.0
HER,65988.0,147.66666666666666
HET,94488.0,148.0
HFA,17296.0,98.0
HFD,36160.0,123.66666666666667
HFE,39372.0,164.0
HFN,19684.0,148.0
HFS,19804.0,98.0
HFT,12244.0,98.0
HGA,48556.0,148.0
HGD,33780.0,78.5
HGH,91860.0,172.5
HGL,14548.0,67.66666666666667
HGN,26248.0,98.0
HGO,27560.0,98.0
HGR,34484.0,125.0
HGU,43136.0,78.5
HHH,17200.0,100.0
HHI,22416.0,295.0
HHN,49868.0,148.0
HHQ,27560.0,115.0
HHR,19824.0,100.0
HIB,39332.0,112.5
HID,34436.0,86.5
HIF,54032.0,200.0
HII,32004.0,100.0
HIJ,39368.0,200.0
HIN,72000.0,150.0
HIO,56996.0,103.33333333333333
HIR,28872.0,148.0
HIW,23624.0,148.0
HJR,29840.0,148.0
HKB,11648.0,60.0
HKD,39368.0,150.0
HKG,99736.0,197.0
HKK,32676.0,78.5
HKN,20848.0,98.0
HKT,39372.0,148.0
HKY,43200.0,150.0
HLA,79984.0,111.0
HLD,34120.0,148.0
HLF,25532.0,131.0
HLG,38000.0,150.0
HLJ,13124.0,98.0
HLN,66532.0,100.0
HLP,39372.0,148.0
HLR,15212.0,144.0
HLT,34604.0,98.0
HLZ,53468.0,184.75
HMA,36720.0,141.0
HME,39372.0,148.0
HMJ,28876.0,140.0
HMN,142024.0,200.0
HMO,44620.0,123.0
HMR,12388.0,98.0
HMV,21016.0,98.0
HNA,32808.0,148.0
HND,149068.0,200.0
HNH,11988.0,75.0
HNL,193008.0,183.33333333333334
HNM,14424.0,100.0
HNS,16000.0,100.0
HNZ,20012.0,100.0
HOB,73592.0,133.33333333333334
HOD,39372.0,148.0
HOF,40156.0,148.0
HOG,42496.0,148.0
HOI,44356.0,148.0
HOJ,8268.0,59.0
HOK,20472.0,
HOM,26804.0,150.0
HON,48804.0,87.5
HOP,65200.0,175.0
HOQ,19424.0,98.0
HOR,20932.0,148.0
HOT,42776.0,150.0
HOU,105408.0,137.5
HOV,14040.0,98.0
HPA,15748.0,98.0
HPB,13200.0,75.0
HPH,31520.0,164.0
HPN,43996.0,150.0
HQM,20000.0,150.0
HQU,20800.0,100.0
HRB,42000.0,148.0
HRE,62008.0,151.0
HRG,52496.0,148.0
HRI,45932.0,197.0
HRK,29140.0,165.0
HRL,86028.0,150.0
HRM,58120.0,124.0
HRO,24644.0,150.0
HRT,41656.0,150.0
HSG,26248.0,148.0
HSH,46008.0,87.5
HSL,16000.0,75.0
HSM,27832.0,79.0
HST,44804.0,300.0
HSV,90424.0,150.0
HTA,61340.0,214.5
HTG,35488.0,158.0
HTI,22364.0,148.0
HTL,24800.0,87.5
HTN,41996.0,164.0
HTR,10500.0,
HTS,38064.0,105.0
HTU,21312.0,79.0
HTV,20024.0,100.0
HTY,39372.0,148.0
HUA,29200.0,150.0
HUF,80884.0,150.0
HUH,19684.0,66.0
HUI,35100.0,130.0
HUL,40004.0,150.0
HUN,108196.0,123.66666666666667
HUS,13520.0,100.0
HUT,69024.0,91.66666666666667
HUU,32808.0,98.0
HUV,17324.0,98.0
HUW,19948.0,98.0
HUX,35432.0,148.0
HUY,42652.0,123.0
HVA,15748.0,72.0
HVB,26244.0,98.0
HVD,63548.0,162.0
HVG,10500.0,
HVN,36904.0,125.0
HVR,35616.0,80.0
HVS,20000.0,75.0
HWD,35204.0,112.5
HWO,52420.0,100.0
HXX,34160.0,98.0
HYA,42708.0,150.0
HYD,104552.0,172.5
HYG,20000.0,2000.0
HYI,68584.0,116.66666666666667
HYR,24972.0,110.0
HYS,44000.0,87.5
HYV,26904.0,54.0
HYW,17600.0,75.0
HZK,21064.0,157.0
HZL,19592.0,100.0
HZP,24000.0,
I16,14804.0,60.0
IAB,96000.0,250.0
IAD,180012.0,150.0
IAG,75964.0,125.0
IAH,201608.0,150.0
IAM,68244.0,123.0
IAN,13600.0,100.0
IAO,16668.0,98.0
IAR,39480.0,135.0
IAS,23364.0,98.0
IBA,31500.0,147.0
IBE,23620.0,98.0
IBR,35440.0,150.0
IBZ,36744.0,148.0
ICN,150424.0,197.0
ICT,95612.0,150.0
IDA,52212.0,112.5
IDL,63964.0,100.0
IDP,35612.0,80.0
IDR,29920.0,148.0
IDY,23684.0,123.0
IEG,32808.0,197.0
IEJ,39524.0,121.0
IEO,20980.0,100.0
IEV,30316.0,148.0
IFJ,18372.0,148.0
IFL,35392.0,98.0
IFN,115400.0,148.0
IFO,32904.0,144.0
IGA,56144.0,94.5
IGB,27560.0,98.0
IGG,12000.0,75.0
IGL,39284.0,147.0
IGQ,29588.0,75.0
IGR,43308.0,148.0
IGS,70592.0,147.5
IGU,28804.0,148.0
IGX,16020.0,75.0
IIA,10640.0,65.0
IIL,36732.0,148.0
IJD,44500.0,108.33333333333333
IJK,32808.0,142.0
IKA,110848.0,148.0
IKI,17324.0,100.0
IKK,41512.0,87.5
IKO,14048.0,135.0
IKS,39380.0,194.0
IKT,46784.0,148.0
IKU,26248.0,148.0
IKV,38800.0,87.5
ILD,32808.0,200.0
ILF,12000.0,75.0
ILG,75184.0,150.0
ILI,63108.0,250.0
ILM,60080.0,175.0
ILN,78804.0,150.0
ILO,32808.0,148.0
ILP,14432.0,76.0
ILR,40676.0,197.0
ILY,28608.0,105.0
ILZ,15092.0,98.0
IMF,36036.0,148.0
IMM,60004.0,150.0
IMP,23596.0,148.0
IMT,41248.0,112.5
IND,115220.0,150.0
INH,30184.0,98.0
INI,32808.0,148.0
INJ,16000.0,60.0
INK,34060.0,100.0
INL,38028.0,112.5
INN,26248.0,148.0
INQ,6824.0,59.0
INS,56016.0,125.0
INT,42372.0,150.0
INU,28216.0,148.0
INV,33952.0,105.0
INW,82668.0,150.0
INZ,39372.0,148.0
IOA,31496.0,148.0
IOB,20008.0,75.0
IOM,50592.0,130.33333333333334
IOR,2080.0,18.0
IOS,20696.0,148.0
IOW,33020.0,150.0
IPA,11980.0,98.0
IPC,43308.0,148.0
IPH,23600.0,121.0
IPI,23096.0,92.0
IPL,39216.0,87.5
IPN,26300.0,148.0
IPT,43016.0,150.0
IQQ,43964.0,148.0
IQT,32808.0,148.0
IRA,17508.0,
IRC,11916.0,60.0
IRD,18800.0,80.0
IRG,19676.0,98.0
IRI,22032.0,98.0
IRJ,37532.0,98.0
IRK,29592.0,100.0
IRP,32808.0,148.0
IRZ,15748.0,98.0
ISA,44804.0,103.5
ISB,43140.0,150.0
ISC,21232.0,93.66666666666667
ISE,39372.0,148.0
ISG,19680.0,148.0
ISJ,13748.0,82.0
ISK,18080.0,150.0
ISM,44000.0,125.0
ISN,40412.0,80.0
ISO,46000.0,150.0
ISP,81604.0,131.25
IST,112864.0,164.33333333333334
ISU,45924.0,148.0
ISW,44960.0,66.66666666666667
ITB,21064.0,98.0
ITH,34476.0,100.0
ITM,63348.0,175.0
ITO,61600.0,150.0
ITP,15748.0,98.0
IUD,49212.0,148.0
IUE,30640.0,148.0
IVA,17800.0,44.0
IVC,55700.0,90.5
IVL,43296.0,148.0
IVR,36932.0,79.0
IWJ,26248.0,148.0
IWK,36800.0,150.0
IWO,34800.0,200.0
IWS,15812.0,75.0
IXA,30000.0,148.0
IXB,36140.0,150.0
IXC,36004.0,168.0
IXD,51640.0,150.0
IXE,21200.0,150.0
IXG,19144.0,148.0
IXH,13200.0,100.0
IXI,30000.0,150.0
IXJ,27020.0,150.0
IXK,18000.0,150.0
IXL,40160.0,98.33333333333333
IXM,42372.0,148.0
IXP,35880.0,150.0
IXR,35420.0,148.0
IXS,23972.0,148.0
IXT,13200.0,
IXU,30852.0,148.0
IXW,16040.0,100.0
IXY,19988.0,94.0
IXZ,43180.0,148.0
IYK,70100.0,75.0
IZA,33136.0,148.0
IZG,16800.0,75.0
IZO,26248.0,148.0
JAA,29048.0,148.0
JAB,18680.0,100.0
JAC,25200.0,150.0
JAD,46360.0,85.0
JAE,31496.0,148.0
JAF,30000.0,98.0
JAI,57600.0,148.0
JAL,22308.0,82.0
JAN,68000.0,150.0
JAS,22000.0,70.0
JAV,11088.0,
JAX,70804.0,150.0
JBQ,21648.0,100.0
JBR,41196.0,150.0
JCB,16536.0,59.0
JCI,49876.0,145.0
JCK,18400.0,98.0
JCT,29020.0,110.5
JDF,20144.0,98.0
JDH,36020.0,150.0
JDO,23624.0,148.0
JED,145660.0,180.66666666666666
JEF,37608.0,87.5
JEG,10484.0,
JER,22388.0,151.0
JES,22000.0,100.0
JFK,179960.0,200.0
JGA,65912.0,148.0
JGG,12816.0,60.0
JGN,39336.0,131.0
JHB,49868.0,150.0
JHG,28872.0,148.0
JHM,12000.0,100.0
JHQ,14432.0,
JHS,10484.0,
JHW,39196.0,100.0
JIA,20996.0,98.0
JIB,41340.0,150.0
JIK,18120.0,98.0
JIM,26248.0,163.0
JIU,36744.0,
JIW,23400.0,
JJI,27556.0,98.0
JKA,42244.0,85.0
JKG,36788.0,115.0
JKH,19828.0,98.0
JKL,14892.0,98.0
JLD,29264.0,196.5
JLN,66424.0,108.33333333333333
JLR,26088.0,150.0
JMK,24976.0,98.0
JMO,9696.0,
JMS,48996.0,87.5
JMU,28872.0,148.0
JNB,102600.0,198.5
JNS,1576.0,66.0
JNU,53428.0,300.0
JNX,11812.0,
JOE,48556.0,134.5
JOG,46400.0,206.5
JOI,21524.0,148.0
JOL,16576.0,98.0
JOS,39380.0,148.0
JOT,24660.0,120.0
JPA,33004.0,148.0
JPR,23624.0,148.0
JQA,11812.0,
JRH,36000.0,150.0
JRN,21524.0,98.0
JRO,47336.0,148.0
JSA,36000.0,150.0
JSH,27216.0,148.0
JSI,21364.0,98.0
JSM,35432.0,98.0
JSR,32000.0,150.0
JST,60356.0,116.66666666666667
JSU,10484.0,
JSV,16000.0,75.0
JSY,14168.0,98.0
JTC,27560.0,148.0
JTR,27888.0,98.0
JTY,12980.0,98.0
JUA,15748.0,98.0
JUB,31496.0,148.0
JUI,27592.0,89.75
JUJ,38792.0,131.0
JUL,55116.0,150.0
JUM,8660.0,82.0
JUV,10484.0,99.0
JVL,76004.0,125.0
JWA,21980.0,82.0
JXN,35380.0,125.0
JYL,51648.0,108.33333333333333
JYO,22000.0,100.0
JYV,34132.0,197.0
JZI,37252.0,150.0
JZP,20000.0,100.0
K03,12000.0,100.0
K83,18160.0,55.0
KAA,24592.0,
KAB,21652.0,59.0
KAC,47440.0,150.0
KAD,39372.0,197.0
KAG,36000.0,150.0
KAJ,32796.0,157.0
KAL,15944.0,100.0
KAN,75484.0,172.5
KAO,32808.0,148.0
KAT,35160.0,98.0
KAU,35432.0,197.0
KAW,24000.0,150.0
KAX,20984.0,60.0
KAZ,11852.0,75.0
KBL,45932.0,164.0
KBP,98424.0,201.5
KBR,27928.0,150.0
KBV,39368.0,148.0
KBZ,17260.0,57.5
KCH,32204.0,151.0
KCM,30184.0,98.0
KCT,12568.0,140.0
KCZ,32812.0,148.0
KDD,24004.0,
KDH,42128.0,148.0
KDI,27560.0,98.0
KDL,19948.0,98.0
KDM,16012.0,98.0
KDO,16012.0,98.0
KDU,73780.0,100.5
KED,32808.0,148.0
KEF,80304.0,197.0
KEJ,76616.0,176.0
KEL,22440.0,106.5
KEM,32848.0,157.0
KEP,19740.0,100.0
KER,77108.0,148.0
KES,10360.0,75.0
KET,31260.0,75.0
KEV,34132.0,197.0
KEW,14000.0,100.0
KFA,20832.0,95.0
KFE,30184.0,98.0
KFG,28556.0,79.0
KFP,8400.0,75.0
KFS,29000.0,115.0
KGA,28872.0,148.0
KGC,48556.0,98.0
KGD,32808.0,148.0
KGE,9712.0,148.0
KGF,43324.0,197.0
KGG,23624.0,148.0
KGI,41992.0,103.5
KGJ,16800.0,59.0
KGK,12000.0,75.0
KGL,45932.0,148.0
KGP,32900.0,138.0
KGS,31364.0,148.0
KGY,38096.0,98.0
KHC,21680.0,115.0
KHD,41992.0,148.0
KHG,41996.0,135.0
KHH,41340.0,197.0
KHI,86620.0,151.0
KHN,36744.0,148.0
